accession	protein_name	sequence_length	header_line	genbank_id	genbank_link	subfamily	phenotype	natural_or_acquired
KJH80402	AA1-1	360	KJH80402.1 beta-lactamase [Stutzerimonas stutzeri]	JYHV01000029	http://www.ncbi.nlm.nih.gov/nuccore/JYHV01000029?from=86876&to=87958			N ( Stutzerimonas stutzeri NT0128)
KJH80651	AA2-1	346	KJH80651.1 beta-lactamase [Stutzerimonas stutzeri]	JYHV01000029	http://www.ncbi.nlm.nih.gov/nuccore/JYHV01000029?from=85839&to=86879			N ( Stutzerimonas stutzeri NT0128)
QOI11476	AAK-1	286	QOI11476.1 class A beta-lactamase AAK-1 [Klebsiella pneumoniae]	MW042819	http://www.ncbi.nlm.nih.gov/nuccore/MW042819?from=1&to=861	SHV-like		N ( Klebsiella pneumoniae ABHI1)
CAB51471	ACI-1	284	CAB51471.1 beta-lactamase [Acidaminococcus fermentans]	AJ007350	http://www.ncbi.nlm.nih.gov/nuccore/AJ007350?from=240&to=1094			N ( Acidaminococcus fermentans )
AAC09015	AER-1	304	AAC09015.1 AER-1 precursor [Aeromonas hydrophila]	U14748	http://www.ncbi.nlm.nih.gov/nuccore/U14748?from=325&to=1239			A
AAR97884	AFA-1	283	AAR97884.1 AmpC [Aliivibrio fischeri]	AY438037	http://www.ncbi.nlm.nih.gov/nuccore/AY438037?from=202&to=1053			N ( Aliivibrio fischeri ATCC7744)
WP_179218415	AKK2-1	285	WP_179218415.1 class A beta-lactamase [Akkermansia muciniphila]	NZ_CAMTNW010000006	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CAMTNW010000006?from=125510&to=126367			N ( uncultured Akkermansia sp.)
WP_297405790	AKK2-2	285	WP_297405790.1 class A beta-lactamase [uncultured Akkermansia sp.]	NZ_CANBDE010000026	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CANBDE010000026?from=21067&to=21924			N ( uncultured Akkermansia sp.)
WP_290551746	AKK2-3	285	WP_290551746.1 class A beta-lactamase [Akkermansia sp.]	NZ_JAJPZG010000002	http://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJPZG010000002?from=22868&to=23725&strand=2			N ( Akkermansia sp.)
WP_295980194	AKK2-4	285	WP_295980194.1 class A beta-lactamase [uncultured Akkermansia sp.]	NZ_CABRSK010000024	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CABRSK010000024?from=20213&to=21070&strand=2			N ( uncultured Akkermansia sp.)
WP_290488221	AKK2-5	285	WP_290488221.1 MULTISPECIES: class A beta-lactamase [unclassified Akkermansia]	NZ_CAMTAB010000026	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CAMTAB010000026?from=29793&to=30650			N ( uncultured Akkermansia sp.)
WP_297668539	AKK2-6	285	WP_297668539.1 class A beta-lactamase [uncultured Akkermansia sp.]	NZ_CAMWFO010000016	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CAMWFO010000016?from=55571&to=56428			N ( uncultured Akkermansia sp.)
WP_215444241	AKK2-7	285	WP_215444241.1 class A beta-lactamase [Akkermansia muciniphila]	NZ_CP072023	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CP072023?from=282576&to=283433&strand=2			N ( Akkermansia muciniphila Akk2090)
WP_297546735	AKK2-8	285	WP_297546735.1 class A beta-lactamase [uncultured Akkermansia sp.]	NZ_CAMVYA010000004	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CAMVYA010000004?from=107191&to=108048			N ( uncultured Akkermansia sp.)
WP_300768370	AKK2-9	285	WP_300768370.1 class A beta-lactamase [uncultured Akkermansia sp.]	NZ_CATBOL010000008	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CATBOL010000008?from=21692&to=22549&strand=2			N ( uncultured Akkermansia sp.)
WP_067774247	AKK4-1	306	WP_067774247.1 class A beta-lactamase [Akkermansia glycaniphila]	NZ_LIGX01000018	http://www.ncbi.nlm.nih.gov/nuccore/NZ_LIGX01000018?from=22521&to=23441&strand=2			N ( Akkermansia glycaniphila Pyt)
WP_215714311	AKK4-2	306	WP_215714311.1 class A beta-lactamase [Akkermansia glycaniphila]	NZ_JACVVN010000012	http://www.ncbi.nlm.nih.gov/nuccore/NZ_JACVVN010000012?from=1279368&to=1280288&strand=2			N ( Akkermansia glycaniphila GP37)
WP_161981441	AKK6-1	289	WP_161981441.1 MULTISPECIES: class A beta-lactamase [unclassified Akkermansia]	NZ_CAAEWG010000018	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CAAEWG010000018?from=4562&to=5431			N ( uncultured Akkermansia sp.)
APO33505	AKK6-2	289	APO33505.1 Beta-lactamase enzyme family [uncultured bacterium]	KX128069	http://www.ncbi.nlm.nih.gov/nuccore/KX128069?from=3608&to=4477			N ( uncultured bacterium )
WP_215437845	AKK6-3	289	WP_215437845.1 MULTISPECIES: class A beta-lactamase [Akkermansia]	NZ_AP025943	http://www.ncbi.nlm.nih.gov/nuccore/NZ_AP025943?from=2146199&to=2147068			N ( Akkermansia biwaensis WON2089)
WP_067951945	AKK6-4	289	WP_067951945.1 MULTISPECIES: class A beta-lactamase [unclassified Akkermansia]	NZ_CALEXQ010000010	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CALEXQ010000010?from=12448&to=13317&strand=2			N ( uncultured Akkermansia sp.)
WP_295877481	AKK6-5	289	WP_295877481.1 class A beta-lactamase [Akkermansia sp.]	NZ_CABQSK010000030	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CABQSK010000030?from=12432&to=13301&strand=2			N ( uncultured Akkermansia sp.)
WP_290548123	AKK7-1	307	WP_290548123.1 class A beta-lactamase [Akkermansia sp.]	NZ_JAJBTT010000018	http://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJBTT010000018?from=129669&to=130592			N ( Akkermansia sp.)
WP_302014968	AKK7-2	307	WP_302014968.1 class A beta-lactamase [uncultured Akkermansia sp.]	NZ_CATVRP010000073	http://www.ncbi.nlm.nih.gov/nuccore/NZ_CATVRP010000073?from=10508&to=11431			N ( uncultured Akkermansia sp.)
